Output File                                                 Name                            Type        FSH File                                                Lines
CodeSystem-gef-address-localization-cs.json                 GEFAddressLocalizationCS        CodeSystem  codesystems\GEFAddressLocalizationCodeSystem.fsh        5 - 19
CodeSystem-gef-chorus-identifier-type-cs.json               GEFChorusIdentifierTypeCS       CodeSystem  codesystems\GEFChorusIdentifierTypeCodeSystem.fsh       5 - 24
CodeSystem-gef-civility-cs.json                             GEFCivilityCS                   CodeSystem  codesystems\GEFCivilityCodeSystem.fsh                   5 - 21
CodeSystem-gef-debtor-type-cs.json                          GEFDebtorTypeCS                 CodeSystem  codesystems\GEFDebtorTypeCodeSystem.fsh                 5 - 18
CodeSystem-gef-identifier-type-cs.json                      GEFIdentifierTypeCS             CodeSystem  codesystems\GEFIdentifierTypeCodeSystem.fsh             5 - 25
CodeSystem-gef-legal-nature-cs.json                         GEFLegalNatureCS                CodeSystem  codesystems\GEFLegalNatureCodeSystem.fsh                5 - 28
CodeSystem-gef-tg-category-cs.json                          GEFTGCategoryCS                 CodeSystem  codesystems\GEFTGCategoryCodeSystem.fsh                 5 - 40
CodeSystem-tiers-role-codesystem.json                       TiersRoleCodeSystem             CodeSystem  codesystems\TiersRoleCodeSystem.fsh                     5 - 13
NamingSystem-ridet-identifier-ns.json                       ridet-identifier-ns             Instance    examples\RIDETIdentifierNamingSystem.fsh                5 - 24
NamingSystem-tahiti-identifier-ns.json                      tahiti-identifier-ns            Instance    examples\TahitiIdentifierNamingSystem.fsh               5 - 24
StructureDefinition-debiteur-profile.json                   DebiteurProfile                 Profile     profiles\DebiteurProfile.fsh                            6 - 84
StructureDefinition-fournisseur-profile.json                FournisseurProfile              Profile     profiles\FournisseurProfile.fsh                         6 - 45
StructureDefinition-gef-address-localization.json           GEFAddressLocalization          Extension   extensions\GEFAddressLocalizationExtension.fsh          5 - 20
StructureDefinition-gef-bank-account.json                   GEFBankAccount                  Extension   extensions\GEFBankAccountExtension.fsh                  5 - 57
StructureDefinition-gef-chorus-identifier-type.json         GEFChorusIdentifierType         Extension   extensions\GEFChorusIdentifierTypeExtension.fsh         5 - 20
StructureDefinition-gef-debtor-flags.json                   GEFDebtorFlags                  Extension   extensions\GEFDebtorFlagsExtension.fsh                  5 - 41
StructureDefinition-gef-debtor-type.json                    GEFDebtorType                   Extension   extensions\GEFDebtorTypeExtension.fsh                   5 - 20
StructureDefinition-gef-identifier-type.json                GEFIdentifierType               Extension   extensions\GEFIdentifierTypeExtension.fsh               5 - 19
StructureDefinition-gef-legal-nature.json                   GEFLegalNature                  Extension   extensions\GEFLegalNatureExtension.fsh                  5 - 19
StructureDefinition-gef-person-details.json                 GEFPersonDetails                Extension   extensions\GEFPersonDetailsExtension.fsh                5 - 30
StructureDefinition-gef-public-accounting-counterpart.json  GEFPublicAccountingCounterpart  Extension   extensions\GEFPublicAccountingCounterpartExtension.fsh  5 - 30
StructureDefinition-gef-regie-code.json                     GEFRegieCode                    Extension   extensions\GEFRegieCodeExtension.fsh                    5 - 20
StructureDefinition-gef-tg-category.json                    GEFTGCategory                   Extension   extensions\GEFTGCategoryExtension.fsh                   5 - 19
StructureDefinition-tiers-profile.json                      TiersProfile                    Profile     profiles\CPageTiersProfile.fsh                          6 - 128
StructureDefinition-tiers-role-extension.json               TiersRoleExtension              Extension   extensions\TiersRoleExtension.fsh                       5 - 14
ValueSet-gef-address-localization-vs.json                   GEFAddressLocalizationVS        ValueSet    valuesets\GEFAddressLocalizationValueSet.fsh            5 - 13
ValueSet-gef-chorus-identifier-type-vs.json                 GEFChorusIdentifierTypeVS       ValueSet    valuesets\GEFChorusIdentifierTypeValueSet.fsh           5 - 13
ValueSet-gef-civility-vs.json                               GEFCivilityVS                   ValueSet    valuesets\GEFCivilityValueSet.fsh                       5 - 13
ValueSet-gef-debtor-type-vs.json                            GEFDebtorTypeVS                 ValueSet    valuesets\GEFDebtorTypeValueSet.fsh                     5 - 13
ValueSet-gef-identifier-type-vs.json                        GEFIdentifierTypeVS             ValueSet    valuesets\GEFIdentifierTypeValueSet.fsh                 5 - 13
ValueSet-gef-legal-nature-vs.json                           GEFLegalNatureVS                ValueSet    valuesets\GEFLegalNatureValueSet.fsh                    5 - 13
ValueSet-gef-tg-category-vs.json                            GEFTGCategoryVS                 ValueSet    valuesets\GEFTGCategoryValueSet.fsh                     5 - 13
ValueSet-tiers-role-valueset.json                           TiersRoleValueSet               ValueSet    valuesets\TiersRoleValueSet.fsh                         5 - 10
